seed,gridsize,ncount,method,besttour,runtime
49,1000,29,2,4211,3.181488
49,1000,29,4,4207,4.378951
49,1000,29,6,,
30,1000,30,2,5164,27.644202
30,1000,30,4,4887,1.164438
30,1000,30,6,,
11,1000,31,2,5354,36.945505
11,1000,31,4,4634,0.005286
11,1000,31,6,,
71,1000,32,2,5214,390.966273
71,1000,32,4,4700,0.006944
71,1000,32,6,,
33,5000,26,2,25908,10.531118
33,5000,26,4,23812,0.003026
33,5000,26,6,23812,15.053578
51,5000,27,2,22950,0.591007
51,5000,27,4,22531,0.004286
51,5000,27,6,22531,67.618526
16,5000,28,2,27092,21.356835
16,5000,28,4,23759,0.003764
16,5000,28,6,23759,71.120637
66,5000,29,2,25410,16.759332
66,5000,29,4,22526,0.003981
66,5000,29,6,,
43,5000,30,2,22194,3.756165
43,5000,30,4,20606,0.004097
43,5000,30,6,,
20,5000,31,2,22093,91.469681
20,5000,31,4,21200,0.007967
20,5000,31,6,,
45,5000,32,2,25602,194.957448
45,5000,32,4,24580,0.008473
45,5000,32,6,,
2,100,26,2,497,130.393872
2,100,26,4,452,0.242529
2,100,26,6,452,17.53006
37,100,27,2,514,75.750226
37,100,27,4,464,0.006955
37,100,27,6,464,32.247133
2,100,28,2,,
2,100,28,4,456,0.017467
2,100,28,6,456,69.433503
81,100,29,2,471,57.385421
81,100,29,4,428,0.013768
81,100,29,6,,
74,100,30,2,467,0.66426
74,100,30,4,454,0.005259
74,100,30,6,,
62,100,31,2,516,0.34593
62,100,31,4,495,0.003554
62,100,31,6,,
69,100,32,2,520,0.770994
69,100,32,4,467,0.003945
69,100,32,6,,
38,1000,26,2,4745,0.60313
38,1000,26,4,4202,0.003002
38,1000,26,6,4202,15.020947
83,1000,27,2,4295,3.413855
83,1000,27,4,4219,0.004531
83,1000,27,6,4219,32.30786
60,1000,28,2,,
60,1000,28,4,4207,0.011377
60,1000,28,6,4207,69.415841
49,1000,29,2,4211,2.981086
49,1000,29,4,4207,0.003208
49,1000,29,6,,
87,1000,30,2,5681,1.000485
87,1000,30,4,4987,0.003474
87,1000,30,6,,
52,1000,31,2,4862,5.443083
52,1000,31,4,4409,0.004042
52,1000,31,6,,
1,1000,32,2,4462,6.29556
1,1000,32,4,4462,0.003887
1,1000,32,6,,
27,5000,26,2,20825,4.657803
27,5000,26,4,19533,0.002472
27,5000,26,6,19533,15.014084
60,5000,27,2,24682,5.922992
60,5000,27,4,22206,0.003812
60,5000,27,6,22206,32.303065
92,5000,28,2,24565,1.930598
92,5000,28,4,21889,0.003889
92,5000,28,6,21889,69.421804
77,5000,29,2,21816,14.762008
77,5000,29,4,21138,0.003833
77,5000,29,6,,
75,5000,30,2,22205,3.334311
75,5000,30,4,21470,0.004256
75,5000,30,6,,
35,5000,31,2,26667,26.318515
35,5000,31,4,25441,0.008545
35,5000,31,6,,
51,5000,32,2,28866,24.446017
51,5000,32,4,25473,0.031418
51,5000,32,6,,
96,100,26,2,472,14.678176
96,100,26,4,425,0.004225
96,100,26,6,425,25.895601
7,100,27,2,537,3.803129
7,100,27,4,461,0.146466
7,100,27,6,,
61,100,28,2,473,0.60064
61,100,28,4,401,0.006028
61,100,28,6,,
39,100,29,2,421,3.039985
39,100,29,4,403,0.005762
39,100,29,6,,
9,100,30,2,513,95.286867
9,100,30,4,496,0.004072
9,100,30,6,,
27,100,31,2,523,95.926662
27,100,31,4,486,0.022115
27,100,31,6,,
75,100,32,2,511,1.670159
75,100,32,4,477,0.005456
75,100,32,6,,
74,1000,26,2,5686,3.926142
74,1000,26,4,4607,0.037814
74,1000,26,6,4607,15.144688
83,1000,27,2,4295,3.445373
83,1000,27,4,4219,0.004768
83,1000,27,6,4219,32.443146
83,1000,28,2,4311,0.379107
83,1000,28,4,4235,0.004705
83,1000,28,6,,
51,1000,29,2,4145,0.843333
51,1000,29,4,3865,0.239074
51,1000,29,6,,
53,1000,30,2,5000,4.352322
53,1000,30,4,4717,0.009791
53,1000,30,6,,
6,1000,31,2,5444,50.09563
6,1000,31,4,4978,0.024232
6,1000,31,6,,
21,1000,32,2,4507,14.646564
21,1000,32,4,4417,0.009243
21,1000,32,6,,
89,5000,26,2,24181,58.779509
89,5000,26,4,23389,0.018289
89,5000,26,6,23389,32.799258
46,5000,27,2,,
46,5000,27,4,23167,1.004214
46,5000,27,6,,
5,5000,28,2,24492,1.576489
5,5000,28,4,22060,0.002479
5,5000,28,6,22060,69.486117
61,5000,29,2,26751,419.338023
61,5000,29,4,25024,0.012988
61,5000,29,6,,
69,5000,30,2,,
69,5000,30,4,23760,0.009327
69,5000,30,6,,
75,5000,31,2,22411,5.402639
75,5000,31,4,21676,0.004491
75,5000,31,6,,
43,5000,32,2,26167,98.332061
43,5000,32,4,22120,0.091534
43,5000,32,6,,
79,100,26,2,486,2.612016
79,100,26,4,453,0.404192
79,100,26,6,,
53,100,27,2,381,0.111902
53,100,27,4,379,0.003052
53,100,27,6,,
1,100,28,2,387,1.007215
1,100,28,4,368,0.00297
1,100,28,6,,
86,100,29,2,,
86,100,29,4,427,0.129387
86,100,29,6,,
83,100,30,2,554,4.477507
83,100,30,4,495,0.005876
83,100,30,6,,
47,100,31,2,514,1.386292
47,100,31,4,486,0.005269
47,100,31,6,,
73,100,32,2,458,18.046849
73,100,32,4,413,0.013245
73,100,32,6,,
74,1000,26,2,5686,3.865477
74,1000,26,4,4607,0.037231
74,1000,26,6,4607,15.408478
88,1000,27,2,4709,0.36233
88,1000,27,4,4335,0.176145
88,1000,27,6,,
44,1000,28,2,4608,1.464569
44,1000,28,4,4124,0.003521
44,1000,28,6,,
48,1000,29,2,5059,132.687283
48,1000,29,4,4696,0.580507
48,1000,29,6,,
5,1000,30,2,4899,4.109573
5,1000,30,4,4634,0.003567
5,1000,30,6,,
82,1000,31,2,4587,0.792747
82,1000,31,4,4242,0.004174
82,1000,31,6,,
92,1000,32,2,4722,309.390764
92,1000,32,4,4239,0.042725
92,1000,32,6,,
74,5000,26,2,24517,20.938354
74,5000,26,4,22989,0.003185
74,5000,26,6,22989,15.094691
35,5000,27,2,25143,22.343822
35,5000,27,4,24633,0.00542
35,5000,27,6,24633,32.340637
39,5000,28,2,23590,11.568943
39,5000,28,4,21833,0.003384
39,5000,28,6,,
